population	Lat	Long	n	B*14:02	B*15:03	B*46:01	A*24:02
ACB	13.193887	-59.543198	96	0.0052	0.0625	0	0.0156
CLM	6.244203	-75.581212	94	0.044	0	0	0.163
PEL	-12.046373	-77.042754	86	0.0241	0	0	0.1235
PUR	18.220833	-66.590149	105	0.0644	0.0198	0	0.1261
BEB	23.684994	90.356331	86	0	0	0	0.1279
ITU	51.507351	-0.127758	103	0	0	0	0.1584
PJL	30.375321	69.345116	96	0	0	0	0.0894
STU	51.507351	-0.127758	103	0	0	0	0.1767
Benin	9.30769	2.315834	NA	0	0.0435	0	0
GWD	13.22292	-16.581979	113	0.0229	0.0872	0	0.0091
LWK	0.599206	34.779603	101	0.0101	0.0455	0	0.005
MSL	8.460555	-11.779889	85	0.0118	0.0588	0	0.0058
YRI + ESN	7.396389	3.916667	208	0	0.065	0	0.005
CDX + CHB + CHS	39.9042	116.407396	310	0	0	0.1903	0.1528
JPT	35.689488	139.691706	104	0	0	0.0485	0.3883
KHV	10.823099	106.629664	101	0	0	0.1111	0.0959
FIN	60.169856	24.938379	99	0	0	0	0.0555
GBR	54.702355	-3.276575	92	0.033	0.0055	0	0.0777
IBS	40.463667	-3.74922	107	0.0187	0	0	0.0981
TSI	43.771051	11.248621	108	0.014	0	0	0.1261
Brazil	-23.55052	-46.633309	1171	0.0441	0.0212	0.0017	0.0918